imageFileName,imageStem,imagePath,fileSizeBytes,fileHash,duplicateGroupSize
1039.jpg,1039,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1039.jpg,263656,3411cc9becdbbc764b9a90958473fdcca828f9f45ea47d82e1cee1433d1b9df5,1
104.jpg,104,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/104.jpg,29304,ad9d93aa6a6e625996e2f3f79bc37347939b7341ad0d8c546aadc259662c0750,1
1040.jpg,1040,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1040.jpg,73966,e6ad989471ed823ec79817552a24e1de39d619484214cb08ef7d8c0cc7a4f1fe,1
1041.jpg,1041,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1041.jpg,296174,69a50c4f58aa1869fa2ed73a5610844246a5aa603e39a56237acc85b78cd50d7,1
1042.jpg,1042,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1042.jpg,93972,c0571eceacf468d08864ec1f86904a0a75e240499f30c02a966f83f8d1cd5a02,1
1043.jpg,1043,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1043.jpg,152263,2038866aadf5f3cea88b25921c04d7afb62d9156712adcdf42ba0aef3c926dd8,1
1044.jpg,1044,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1044.jpg,107626,1b2388998f50e9e7f705c2063427ea693e7bddf3b11a2ecc2c673addbf22ee61,1
1045.jpg,1045,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1045.jpg,110899,24c8e3d0ffd347484ca866ffdf09b6c7860262711eccfe0ee00e2ec7cf467cd2,1
1046.jpg,1046,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1046.jpg,48563,a03c2a484b7b450ecc0e6cdc000f321b61d54426347b43dc80eba8d99c09235e,1
1047.jpg,1047,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1047.jpg,37967,c0814a0f2a2d0a460a10bb4606ca9ae0a0365c87384f5b9e24857d5968c835d1,1
1048.jpg,1048,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1048.jpg,34775,f6951b33b4a83088d3eac468463a5c0f0a29671e8cc676afedd0297cf0fc85ba,1
1049.jpg,1049,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1049.jpg,72208,de9cd468062ed8d5d41ff9d5cf91bb4806d695c9b975bff2a444a6db13a74d33,1
105.jpg,105,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/105.jpg,39962,8c974b0936b6f2d48f469f77890f762afaf4fe9c3fadb1136559117980614d1e,1
1050.jpg,1050,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1050.jpg,161725,58b6a2e519303a279a07f51470c45658ed20655a67f34f4aafdf433a26c0314c,1
1051.jpg,1051,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1051.jpg,48147,3e248711afa2ff5790607b2573dc61f301531f9699000f55bedef11810fec275,1
1052.jpg,1052,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1052.jpg,83552,567870f0c9fc7cc4a284a3d320391add3dfd07b6dab6ac053ad0ef6f5a9f72b0,1
1053.jpg,1053,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1053.jpg,101813,619ad3d173e155017da029ef336dfe0e17694d0bdea41a4364a0a71ff4524555,1
1054.jpg,1054,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1054.jpg,30884,67ee82da870ca4126f8eac39e34c7e9167ba21259c4609b465f23ed53785dabc,1
1055.jpg,1055,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1055.jpg,70537,fc978cd10fb3fc316220abc4a912fc9a6b6703883f8ada64a74105189cf9b0e6,1
1056.jpg,1056,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1056.jpg,22208,d4d25d3522aa0b75d0068613db2672f7fe007ccdf8c130767cd89e5f20630f60,1
1057.jpg,1057,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1057.jpg,71092,c4ae02c1d3ad75f37d34f7f7eff6837b034074ef58b01903a653197549bb0a3e,1
1058.jpg,1058,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1058.jpg,153161,3c67f024426e814add1dc6bac50bd7d0cb58cb43745be5ad0a4163d07de181d1,1
1059.jpg,1059,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1059.jpg,74009,2fc413db5c24030c3ea1fd66877996aeb723894eb75a5b230a4281c0c5202944,1
106.jpg,106,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/106.jpg,45004,1ff35d6ac3dbdccd4b9d348a18ef58aeeca5decc22349bb3f23edf89bb8b102d,1
1060.jpg,1060,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1060.jpg,91518,c452c0b8c13eb1b29f3edf98da1ed229e24f17ab2b0ad74dfece8ca419b28d2f,1
1061.jpg,1061,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1061.jpg,44211,ee3874565f086b763b9f40cd8fd3ee6dff1a923be913f7a20daed10e26e4e2e0,1
1062.jpg,1062,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1062.jpg,156848,13a0cbdb42d7791e9cc7381f688ed55268b432dd7bda1876c3adf60b7819ac8b,1
