trialNumber,featureCacheKey,imageSize,pixelsPerCellX,pixelsPerCellY,pixelsPerCellLabel,orientations,colorMode,cValue,logisticTol,logisticMaxIter,featureDimension,hadConvergenceWarning,convergenceWarningCount,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1,isSelectionEligible,rankBySelection
22,size112__ppc16x16__ori12__colorrgb,112,16,16,16x16,12,rgb,0.03,0.001,2000,1728,0,0,0.9644484958979034,0.9679748630079756,0.971707844124884,0.9693680834957501,0.9646838794327403,0.6408163265306123,0.6050544626464145,0.6186673251235796,0.6018342154341408,0.6535018493033377,1,83
38,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.003,0.001,2000,1764,0,0,0.8477666362807658,0.8455938903306964,0.874255936194563,0.8549917943828111,0.8472983251798595,0.6326530612244898,0.5992493445794885,0.6375706293470954,0.6018321996096794,0.6445709239576116,1,84
1,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.001,0.001,2000,6084,0,0,0.9051959890610757,0.9079434185187795,0.9221518121621868,0.9117426926641944,0.9051563629037195,0.6408163265306123,0.5945929143346772,0.6183512600241865,0.5974494037588072,0.6514965927436986,1,85
15,size112__ppc16x16__ori9__colorrgb,112,16,16,16x16,9,rgb,0.01,0.001,2000,1296,0,0,0.8842297174111212,0.8767112894385022,0.903916778230638,0.8868396362021361,0.8842012650510193,0.6244897959183674,0.5949216674626511,0.6286145740164498,0.5945649908004097,0.6358647110341299,1,86
91,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.001,0.001,2000,3888,0,0,0.8495897903372835,0.8412458258124579,0.8754404222956517,0.8522600174449017,0.8495909483166628,0.6163265306122448,0.5805085920238647,0.6041112772140658,0.5796358143847189,0.6304791844091487,1,87
85,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.001,0.001,2000,2916,0,0,0.8085688240656336,0.8010663382980997,0.8394976198754734,0.8112352040695048,0.8088384557250137,0.6081632653061224,0.5762203745662674,0.6082959664517428,0.5780274373848672,0.6203724481039455,1,88
67,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.001,0.001,2000,3072,0,0,0.8158614402917046,0.8044240416441409,0.8478374074977867,0.8177079224510416,0.8159138679342199,0.6122448979591837,0.5856692291483313,0.6083606870368516,0.5771617550051473,0.6293129999435858,1,89
61,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.001,0.001,2000,2304,0,0,0.7793983591613491,0.7632126256273578,0.8150404605591645,0.7751847175089596,0.7802298475923486,0.6081632653061224,0.5749689072269717,0.5963448901373338,0.5701230672479847,0.6249353238060632,1,90
20,size112__ppc16x16__ori12__colorrgb,112,16,16,16x16,12,rgb,0.003,0.001,2000,1728,0,0,0.8432087511394712,0.8377696658294044,0.8692595922314615,0.8480177581320955,0.8435937192277613,0.6040816326530613,0.5710592193751777,0.6000827528367041,0.5697029223234319,0.6164594129981668,1,91
14,size112__ppc16x16__ori9__colorrgb,112,16,16,16x16,9,rgb,0.003,0.001,2000,1296,0,0,0.8067456700091158,0.7939885814420595,0.8389792832890556,0.8070222835634163,0.8070774011221551,0.5836734693877551,0.5612238517410931,0.6011293700253532,0.5600152062263087,0.5963966561661922,1,92
43,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.001,0.001,2000,2352,0,0,0.7885141294439381,0.7788341295166394,0.8180414769105743,0.7904448373181504,0.788615663583491,0.5836734693877551,0.5541771061541558,0.5818734194430802,0.5514291429918124,0.5950128031284531,1,93
